,numero
0,2.35
1,5.59
2,1.60
3,
4,1.00
5,1.86
6,
7,1.08
8,1.89
9,
10,1.18
11,2.14
12,1.24
13,
14,1.17
15,
16,1.17
17,1.02
18,2.07
19,1.55
20,1.27
21,1.07
22,5.26
23,
24,1.79
25,1.19
26,2.27
27,1.50
28,1.02
29,13.21
30,6.37
31,4.55
32,
33,2.31
34,1.51
35,31.15
36,
37,2.74
38,1.79
39,
40,1.81
41,
42,2.15
43,1.00
44,
45,1.21
46,11.64
47,1.44
48,2.37
49,3.00
50,
51,1.31
52,1.36
53,1.59
54,1.00
55,1.97
56,1.28
57,1.83
58,1.02
59,6.36
60,
61,1.17
62,5.71
63,1.56
64,2.68
65,16.20
66,2.17
67,7.80
68,
69,1.70
70,10.04
71,1.00
72,1.53
73,5.07
74,99.94
75,35.12
76,1.68
77,2.13
78,1.53
79,1.44
80,1.40
81,2.59
82,1.12
83,1.13
84,3.27
85,1.87
86,1.26
87,1.01
88,
89,1.31
90,2.57
91,1.10
92,1.22
93,2.49
94,3.35
95,1.57
96,1.39
97,10.68
98,1.27
99,1.42
100,
101,1.18
102,
103,1.39
104,
105,1.40
106,13.47
107,
108,1.36
109,50.67
110,4.59
111,1.43
112,1.85
113,13.25
114,1.88
115,1.55
116,1.28
117,1.13
118,3.27
119,1.87
120,21.13
121,3.34
122,1.27
123,4.20
124,14.32
125,1.58
126,1.22
127,28.51
128,
129,1.29
130,1.36
131,2.55
132,1.47
133,2.15
134,2.02
135,1.37
136,14.93
137,1.06
138,22.53
139,2.47
140,4.76
141,1.00
142,1.66
143,2.12
144,1.63
145,18.40
146,2.02
147,2.42
148,1.00
149,1.23
150,1.30
151,2.96
152,1.21
153,1.26
154,1.01
155,7.68
156,1.58
157,1.18
158,121.57
159,
160,1.22
161,5.49
162,12.08
163,
164,1.61
165,
166,1.46
167,2.35
168,1.20
169,1.09
170,2.62
171,1.57
172,2.00
173,4.54
174,1.02
175,2.53
176,2.43
177,
178,1.27
179,1.05
180,1.09
181,1.84
182,1.00
183,2.77
184,2.02
185,1.05
186,3.10
187,3.48
188,1.98
189,1.34
190,1.00
191,2.08
192,2.45
193,1.29
194,1.20
195,1.22
196,1.65
197,
198,1.11
199,4.71
200,22.04
201,4.81
202,1.38
203,1.28
204,1.38
205,1.14
206,4.12
207,6.40
208,1.15
209,2.74
210,
211,1.19
212,1.08
213,9.09
214,2.53
215,2.04
216,2.90
217,14.38
218,
219,1.13
220,3.23
221,2.25
222,2.47
223,1.00
224,7.92
225,1.70
226,6.63
227,3.31
228,
229,1.13
230,5.86
231,1.00
232,1.19
233,1.14
234,1.05
235,8.86
236,1.00
237,
238,4.04
239,17.71
240,1.00
241,
242,1.32
243,
244,1.20
245,2.30
246,7.76
247,2.88
248,18.98
249,1.56
250,4.59
251,4.05
252,2.92
253,3.23
254,1.20
255,1.42
256,2.14
257,2.98
258,17.60
259,1.38
260,1.54
261,1.85
262,5.73
263,1.21
264,1.14
265,1.23
266,3.76
267,
268,2.62
269,
270,2.95
271,1.30
272,1.95
273,1.00
274,2.00
275,1.94
276,1.49
277,1.86
278,3.11
279,4.52
280,1.00
281,1.61
282,1.64
283,2.34
284,2.68
285,49.06
286,1.39
287,1.02
288,2.14
289,1.00
290,1.58
291,2.11
292,1.88
293,1.49
294,19.73
295,2.46
296,1.50
297,2.20
298,1.54
299,3.11
300,2.93
